"","com_cond","word","n_step","percent_g","word_pair"
"1","Dys - Adult","gift",1,0.988095238095238,"gift-kift"
"2","Dys - Adult","gift",2,1,"gift-kift"
"3","Dys - Adult","gift",3,0.988095238095238,"gift-kift"
"4","Dys - Adult","gift",4,0.987951807228916,"gift-kift"
"5","Dys - Adult","gift",5,0.857142857142857,"gift-kift"
"6","Dys - Adult","gift",6,0.428571428571429,"gift-kift"
"7","Dys - Adult","gift",7,0.321428571428571,"gift-kift"
"8","Dys - Adult","giss",1,0.941176470588235,"giss-kiss"
"9","Dys - Adult","giss",2,0.964705882352941,"giss-kiss"
"10","Dys - Adult","giss",3,0.870588235294118,"giss-kiss"
"11","Dys - Adult","giss",4,0.658823529411765,"giss-kiss"
"12","Dys - Adult","giss",5,0.223529411764706,"giss-kiss"
"13","Dys - Adult","giss",6,0.0588235294117647,"giss-kiss"
"14","Dys - Adult","giss",7,0.0117647058823529,"giss-kiss"
"15","Dys - Adult","gith",1,0.964705882352941,"gith-kith"
"16","Dys - Adult","gith",2,0.952941176470588,"gith-kith"
"17","Dys - Adult","gith",3,0.964705882352941,"gith-kith"
"18","Dys - Adult","gith",4,0.788235294117647,"gith-kith"
"19","Dys - Adult","gith",5,0.6,"gith-kith"
"20","Dys - Adult","gith",6,0.25,"gith-kith"
"21","Dys - Adult","gith",7,0.152941176470588,"gith-kith"
"22","Dys - Child","gift",1,0.858974358974359,"gift-kift"
"23","Dys - Child","gift",2,0.855263157894737,"gift-kift"
"24","Dys - Child","gift",3,0.828947368421053,"gift-kift"
"25","Dys - Child","gift",4,0.68,"gift-kift"
"26","Dys - Child","gift",5,0.480519480519481,"gift-kift"
"27","Dys - Child","gift",6,0.38961038961039,"gift-kift"
"28","Dys - Child","gift",7,0.350649350649351,"gift-kift"
"29","Dys - Child","giss",1,0.721518987341772,"giss-kiss"
"30","Dys - Child","giss",2,0.653846153846154,"giss-kiss"
"31","Dys - Child","giss",3,0.481012658227848,"giss-kiss"
"32","Dys - Child","giss",4,0.342105263157895,"giss-kiss"
"33","Dys - Child","giss",5,0.215189873417722,"giss-kiss"
"34","Dys - Child","giss",6,0.0886075949367089,"giss-kiss"
"35","Dys - Child","giss",7,0.12987012987013,"giss-kiss"
"36","Dys - Child","gith",1,0.75,"gith-kith"
"37","Dys - Child","gith",2,0.72,"gith-kith"
"38","Dys - Child","gith",3,0.666666666666667,"gith-kith"
"39","Dys - Child","gith",4,0.525641025641026,"gith-kith"
"40","Dys - Child","gith",5,0.25974025974026,"gith-kith"
"41","Dys - Child","gith",6,0.236842105263158,"gith-kith"
"42","Dys - Child","gith",7,0.272727272727273,"gith-kith"
"43","Typ - Adult","gift",1,1,"gift-kift"
"44","Typ - Adult","gift",2,1,"gift-kift"
"45","Typ - Adult","gift",3,0.988505747126437,"gift-kift"
"46","Typ - Adult","gift",4,0.96551724137931,"gift-kift"
"47","Typ - Adult","gift",5,0.71264367816092,"gift-kift"
"48","Typ - Adult","gift",6,0.28735632183908,"gift-kift"
"49","Typ - Adult","gift",7,0.137931034482759,"gift-kift"
"50","Typ - Adult","giss",1,0.96551724137931,"giss-kiss"
"51","Typ - Adult","giss",2,0.931034482758621,"giss-kiss"
"52","Typ - Adult","giss",3,0.919540229885057,"giss-kiss"
"53","Typ - Adult","giss",4,0.71264367816092,"giss-kiss"
"54","Typ - Adult","giss",5,0.264367816091954,"giss-kiss"
"55","Typ - Adult","giss",6,0,"giss-kiss"
"56","Typ - Adult","giss",7,0,"giss-kiss"
"57","Typ - Adult","gith",1,0.988505747126437,"gith-kith"
"58","Typ - Adult","gith",2,0.988505747126437,"gith-kith"
"59","Typ - Adult","gith",3,0.96551724137931,"gith-kith"
"60","Typ - Adult","gith",4,0.758620689655172,"gith-kith"
"61","Typ - Adult","gith",5,0.425287356321839,"gith-kith"
"62","Typ - Adult","gith",6,0.137931034482759,"gith-kith"
"63","Typ - Adult","gith",7,0.0344827586206897,"gith-kith"
"64","Typ - Child","gift",1,0.969072164948454,"gift-kift"
"65","Typ - Child","gift",2,0.929292929292929,"gift-kift"
"66","Typ - Child","gift",3,0.939393939393939,"gift-kift"
"67","Typ - Child","gift",4,0.857142857142857,"gift-kift"
"68","Typ - Child","gift",5,0.696969696969697,"gift-kift"
"69","Typ - Child","gift",6,0.494949494949495,"gift-kift"
"70","Typ - Child","gift",7,0.336734693877551,"gift-kift"
"71","Typ - Child","giss",1,0.696969696969697,"giss-kiss"
"72","Typ - Child","giss",2,0.721649484536082,"giss-kiss"
"73","Typ - Child","giss",3,0.575757575757576,"giss-kiss"
"74","Typ - Child","giss",4,0.303030303030303,"giss-kiss"
"75","Typ - Child","giss",5,0.13265306122449,"giss-kiss"
"76","Typ - Child","giss",6,0,"giss-kiss"
"77","Typ - Child","giss",7,0.0306122448979592,"giss-kiss"
"78","Typ - Child","gith",1,0.868686868686869,"gith-kith"
"79","Typ - Child","gith",2,0.818181818181818,"gith-kith"
"80","Typ - Child","gith",3,0.727272727272727,"gith-kith"
"81","Typ - Child","gith",4,0.693877551020408,"gith-kith"
"82","Typ - Child","gith",5,0.292929292929293,"gith-kith"
"83","Typ - Child","gith",6,0.195876288659794,"gith-kith"
"84","Typ - Child","gith",7,0.151515151515152,"gith-kith"
